_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
6543b5e5a37666f0d1b7cb0c,Test,1,2023-11-02 14:44:53.663,,,,,,,,,,,,
65443c50a37666f0d1b7cb0e,,11,2023-11-03 00:18:24.638,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,,,,,,,
65443d10a37666f0d1b7cb10,,12,2023-11-03 00:21:36.163,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,,,,,,,
65443d11a37666f0d1b7cb12,,12,2023-11-03 00:21:37.688,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,,,,,,,
65443d44a37666f0d1b7cb14,,13,2023-11-03 00:22:28.535,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,,,,,,,
65443d48a37666f0d1b7cb16,,13,2023-11-03 00:22:32.195,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,,,,,,,
654445d1a37666f0d1b7cb18,,14,2023-11-03 00:58:57.093,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,,,,,,
654445d5a37666f0d1b7cb1a,,14,2023-11-03 00:59:01.951,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,,,,,,
654445e5a37666f0d1b7cb1c,,14,2023-11-03 00:59:17.898,Top Of The Class,Event,Gameplay,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,,,,,,
654445e5a37666f0d1b7cb1e,,14,2023-11-03 00:59:17.958,Top Of The Class,Event,Gameplay,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,,,,,,
654445f0a37666f0d1b7cb20,,14,2023-11-03 00:59:28.885,Top Of The Class,Event,Gameplay,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,,,,,,
654445f0a37666f0d1b7cb22,,14,2023-11-03 00:59:28.894,Top Of The Class,Event,Gameplay,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,,,,,,
65445d8ca37666f0d1b7cb24,,15,2023-11-03 02:40:12.859,Top Of The Class,Event,Main Menu,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65445d8fa37666f0d1b7cb26,,15,2023-11-03 02:40:15.102,Top Of The Class,Event,Main Menu,Player Chose Local Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65445d9ba37666f0d1b7cb28,,15,2023-11-03 02:40:27.700,Top Of The Class,Event,Gameplay,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65445d9ba37666f0d1b7cb2a,,15,2023-11-03 02:40:27.763,Top Of The Class,Event,Gameplay,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65445dc9a37666f0d1b7cb2c,,15,2023-11-03 02:41:13.132,Top Of The Class,Event,Gameplay,Player: 1 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,54.53377914428711,,,,,
